StationId,StationName,CountyName,TownName,StationLatitude,StationLongitude,StationAltitude,DateTime,Past1hr,Past10Min,Past3hr,Past6hr,Past12hr,Past24hr,NOW,Past2days,Past3days
C0FA40,臺中電廠,臺中市,龍井區,24.214641,120.490744,25,2025/7/29 00:00,0,0,0,0,19,52.5,52.5,155.5,156
C0G950,防潮門,彰化縣,伸港鄉,24.183494,120.48713,23,2025/7/29 00:00,0,0,0,0,22,50.5,50.5,154.5,156.5
C0U880,北關,宜蘭縣,頭城鎮,24.907222,121.873428,2,2025/7/29 00:00,0,0,0,0,0,0,0,77.5,77.5
C0UB20,壯圍,宜蘭縣,壯圍鄉,24.735922,121.81625,30,2025/7/29 00:00,0,0,0.5,2,2,2,2,3.5,4.5
C0C750,新興坑尾,桃園市,觀音區,25.006066,121.097072,72,2025/7/29 00:00,0,0,0,0,0,1.5,1.5,13,15.5
C0AJ70,田寮,新北市,三芝區,25.2698,121.488597,21,2025/7/29 00:00,4,0.5,6.5,11,11,11,11,25.5,26.5
C0AJ60,六塊厝,新北市,淡水區,25.240002,121.448102,13,2025/7/29 00:00,1,0,3,9,15,15,15,25.5,27.5
C0R850,林邊,屏東縣,林邊鄉,22.463447,120.533892,16,2025/7/29 00:00,24,0.5,49.5,49.5,66,108,108,110,118.5
C0V890,前鎮,高雄市,前鎮區,22.572152,120.311191,25,2025/7/29 00:00,8.5,1,44.5,71.5,75.5,92,92,93,102
C0N040,蘆竹溝,臺南市,北門區,23.234405,120.096125,22,2025/7/29 00:00,0.5,0,2,2,12.5,36,36,37.5,49.5
C0N030,四草,臺南市,安南區,23.023541,120.111633,2,2025/7/29 00:00,12,0.5,25,28,37,50,50,50,112
C0N020,城西,臺南市,安南區,23.056805,120.095569,27,2025/7/29 00:00,11,0.5,27.5,29,44,61,61,61,110
C0V880,興達,高雄市,茄萣區,22.877755,120.212747,19,2025/7/29 00:00,61,5.5,68.5,69,81.5,90,90,92.5,143
C0V870,文安,高雄市,彌陀區,22.802525,120.216369,23,2025/7/29 00:00,52,9.5,69.5,86,99,104.5,104.5,105,114.5
C0V860,南寮,高雄市,彌陀區,22.761616,120.233925,10,2025/7/29 00:00,29,4,67,98.5,109,122,122,122,142.5
C0V850,蚵仔寮,高雄市,梓官區,22.725647,120.252675,22,2025/7/29 00:00,27.5,2.5,86,117,125.5,137.5,137.5,137.5,145
C0V840,鳳鼻頭,高雄市,小港區,22.508275,120.359141,35,2025/7/29 00:00,8,0.5,52,58,59,80,80,80,86
C0V900,汕尾,高雄市,林園區,22.478205,120.415136,6,2025/7/29 00:00,3,0.5,18,20,21,54.5,54.5,54.5,66
C0R920,塭仔,屏東縣,佳冬鄉,22.416933,120.519661,19,2025/7/29 00:00,5,0.5,22,22.5,25.5,58.5,58.5,58.5,68.5
C0R910,下寮,屏東縣,枋寮鄉,22.392861,120.55478,8,2025/7/29 00:00,7,0.5,35.5,36,38,50,50,50,63
C0N010,鯤鯓國小,臺南市,將軍區,23.187875,120.0889,19,2025/7/29 00:00,0,0,0.5,0.5,12.5,45.5,45.5,46.5,61
